// These data were taken by Carmen Barbiel and Detlef Diesing
// January, 22th, 2021 in the lab course cell with a gold wire
// and a Pt wire as counter electrode. 
//Reference is Pt wire in same solution in H2 gas.
// solution is 0.1 N H2/SO4
// Potentiostat is HEKA PG 510 with CR 1mA, CF 10 BW 30 
// The oscilloscope is set to 0.04 sec delta t 
// You should get as a scan rate 0.05 V per second
// But check it.



potential,current
0.079727173,-1.9104004e-05
0.08102417000000001,-1.9042969e-05
0.08171081500000001,-1.7913818e-05
0.080947876,-1.739502e-05
0.08026123,-1.7944336e-05
0.082702637,-1.6967773e-05
0.09124755900000001,-1.5686035e-05
0.09338378899999999,-1.4862061e-05
0.095367432,-1.5045166e-05
0.096282959,-1.4801025e-05
0.095367432,-1.4892578e-05
0.09475707999999999,-1.3793945e-05
0.094451904,-1.2329102e-05
0.1008606,-1.1810303e-05
0.10528564,-1.2329102e-05
0.11146545,-1.1413574e-05
0.11123657,-1.1474609e-05
0.11123657,-1.0925293e-05
0.11199951,-1.0772705e-05
0.11184692,-1.0192871e-05
0.11001587,-9.9487305e-06
0.11871338,-1.0650635e-05
0.12039185,-9.277343800000001e-06
0.1247406,-9.2163086e-06
0.12748718,-9.0026855e-06
0.12489319,-8.392334000000001e-06
0.12535095,-8.239746100000001e-06
0.12435913,-7.598877e-06
0.12916565,-8.5144043e-06
0.13397217,-8.422851600000001e-06
0.13809204,-6.8969727e-06
0.14007568,-6.5612793e-06
0.14289856,-7.3547363e-06
0.13961792,-6.0424805e-06
0.13900757,-6.439209e-06
0.1410675,-6.0424805e-06
0.13969421,-5.0964355e-06
0.14923096,-5.3405762e-06
0.15182495,-6.072998e-06
0.15769958,-5.249023399999999e-06
0.15457153,-5.3710938e-06
0.15472412,-5.065918e-06
0.15403748,-5.859375e-06
0.15594482,-4.760742200000001e-06
0.15586853,-4.3029785e-06
0.16372681,-4.4555664e-06
0.16677856,-4.272460899999999e-06
0.1739502,-4.3640137e-06
0.17066956,-3.90625e-06
0.17082214,-3.2348633e-06
0.16983032,-2.6855469e-06
0.17082214,-2.8686523e-06
0.17753601,-2.8381348e-06
0.1802063,-2.1972656e-06
0.18218994,-2.3498535e-06
0.1890564,-2.6855469e-06
0.18737793,-2.8686523e-06
0.18310547,-1.739502e-06
0.18829346,-2.0446777e-06
0.18615723,-8.8500977e-07
0.18974304,-1.6174316e-06
0.19645691,-4.2724609e-07
0.19836426,-9.4604492e-07
0.20553589,-1.5563965e-06
0.20133972,-1.5563965e-06
0.19996643,-4.8828125e-07
0.20210266,-7.019043e-07
0.20195007,-8.239746100000001e-07
0.20675659,-6.408691400000001e-07
0.21087646,-1.2207031e-07
0.2166748,6.408691400000001e-07
0.21629333,0
0.21636963,3.0517578e-08
0.21713257,-6.1035156e-08
0.21736145,1.373291e-06
0.21400452,3.9672852e-07
0.22140503,1.2817383e-06
0.22605896,1.2207031e-07
0.22872925,1.8005371e-06
0.23330688,-1.2207031e-07
0.22880554,3.9672852e-07
0.22911072,1.2207031e-06
0.22674561,6.1035156e-07
0.23529053,1.5869141e-06
0.24017334,9.1552734e-07
0.2432251,1.0070801e-06
0.24971008,1.4343262e-06
0.24963379,1.8005371e-06
0.24658203,7.019043e-07
0.24307251,1.373291e-06
0.2432251,1.9226074e-06
0.2494812,2.1972656e-06
0.25497437,2.166748e-06
0.26092529,2.3803711e-06
0.26290894,1.5869141e-06
0.25863647,1.0986328e-06
0.25772095,2.2277832e-06
0.25909424,2.3803711e-06
0.26863098,1.9226074e-06
0.27259827,2.7160645e-06
0.27633667,2.9602051e-06
0.26992798,2.7770996e-06
0.27137756,2.7160645e-06
0.27244568,2.5634766e-06
0.27412415,4.2114258e-06
0.28152466,3.7841797e-06
0.28442383,3.5400391e-06
0.284729,3.5095215e-06
0.2872467,3.9672852e-06
0.28594971,4.3029785e-06
0.28800964,3.5095215e-06
0.28816223,4.486084e-06
0.28610229,4.180908199999999e-06
0.29182434,4.7912598e-06
0.29647827,4.119873e-06
0.30303955,4.3945313e-06
0.30281067,4.1503906e-06
0.3012085,5.4016113e-06
0.30059814,3.875732400000001e-06
0.30258179,4.760742200000001e-06
0.30387878,4.2419434e-06
0.31059265,4.9743652e-06
0.31455994,5.645752e-06
0.31822205,4.9743652e-06
0.31990051,5.5236816e-06
0.31730652,4.852294900000001e-06
0.31646729,5.8898926e-06
0.32058716,6.072998e-06
0.31921387,5.0964355e-06
0.32157898,5.7678223e-06
0.32783508,5.279541000000001e-06
0.33195496,6.1645508e-06
0.33111572,6.0119629e-06
0.3364563,7.293701199999999e-06
0.3364563,6.225585899999999e-06
0.33584595,5.4931641e-06
0.33782959,6.0424805e-06
0.33401489,6.3476563e-06
0.34172058,6.317138699999999e-06
0.34729004,7.690429699999999e-06
0.35003662,6.8359375e-06
0.3553009,5.4931641e-06
0.35324097,6.0424805e-06
0.35041809,7.5073242e-06
0.34835815,6.7443848e-06
0.35316467,7.232666e-06
0.3591156,6.5307617e-06
0.36392212,6.4697266e-06
0.36567688,7.4157715e-06
0.36300659,7.202148399999999e-06
0.36338806,8.5144043e-06
0.36148071,7.873535199999999e-06
0.36575317,7.7819824e-06
0.3742218,7.5073242e-06
0.37757874,8.361816399999999e-06
0.37857056,8.636474600000001e-06
0.37696838,8.4533691e-06
0.37879944,7.3242188e-06
0.37872314,9.0332031e-06
0.37956238,8.026123000000001e-06
0.38261414,8.8806152e-06
0.38650513,8.972167999999999e-06
0.39329529,8.7280273e-06
0.39497375,8.7280273e-06
0.39604187,8.087158199999999e-06
0.39237976,8.087158199999999e-06
0.39161682,9.643554699999999e-06
0.39390564,9.9182129e-06
0.39710999,8.8195801e-06
0.40557861,9.429931599999999e-06
0.4108429,9.3688965e-06
0.40779114,8.239746100000001e-06
0.40565491,8.972167999999999e-06
0.40596008,9.5825195e-06
0.40519714,8.7280273e-06
0.41259766,8.209228500000001e-06
0.41595459,9.6130371e-06
0.41969299,8.4533691e-06
0.42480469,9.7351074e-06
0.42198181,9.3383789e-06
0.4196167,9.3688965e-06
0.42518616,8.911132800000001e-06
0.42160034,9.0332031e-06
0.42739868,9.521484400000001e-06
0.43296814,8.422851600000001e-06
0.43746948,9.704589800000001e-06
0.43930054,9.429931599999999e-06
0.4335022,9.124755900000001e-06
0.43418884,9.094238300000001e-06
0.43365479,8.8806152e-06
0.44151306,9.857177699999999e-06
0.44754028,9.826660199999999e-06
0.45066833,9.521484400000001e-06
0.44898987,9.307861300000001e-06
0.44433594,9.857177699999999e-06
0.4473877,8.636474600000001e-06
0.45265198,1.0070801e-05
0.45814514,9.521484400000001e-06
0.46188354,9.155273399999999e-06
0.46485901,1.0375977e-05
0.45761108,1.0162354e-05
0.46073914,9.5825195e-06
0.45806885,1.0223389e-05
0.46737671,9.8876953e-06
0.47203064,9.643554699999999e-06
0.47775269,1.0772705e-05
0.47218323,9.7961426e-06
0.47439575,1.0620117e-05
0.46615601,9.3994141e-06
0.47485352,1.0559082e-05
0.48156738,1.1199951e-05
0.48728943,9.307861300000001e-06
0.48805237,9.2468262e-06
0.49072266,1.0223389e-05
0.48568726,1.0284424e-05
0.48660278,1.0009766e-05
0.48835754,9.6130371e-06
0.4927063,1.0437012e-05
0.49789429,9.429931599999999e-06
0.50094604,1.0955811e-05
0.50468445,1.0375977e-05
0.50163269,9.5825195e-06
0.50033569,9.9182129e-06
0.50216675,9.826660199999999e-06
0.50369263,9.7961426e-06
0.50422668,9.9487305e-06
0.50994873,1.0620117e-05
0.51567078,1.0040283e-05
0.51582336,9.5825195e-06
0.52146912,9.857177699999999e-06
0.52131653,9.460449199999999e-06
0.520401,1.0284424e-05
0.52177429,9.9487305e-06
0.5240631100000001,9.704589800000001e-06
0.52154541,9.857177699999999e-06
0.52444458,1.0375977e-05
0.52894592,9.3994141e-06
0.53092957,9.277343800000001e-06
0.53367615,1.0345459e-05
0.53840637,9.6130371e-06
0.54138184,9.857177699999999e-06
0.5393219,1.0284424e-05
0.54031372,9.552002e-06
0.54000854,1.0894775e-05
0.5393219,9.8876953e-06
0.545578,9.3688965e-06
0.55007935,9.826660199999999e-06
0.55244446,1.0040283e-05
0.5557251,1.0131836e-05
0.55328369,9.185791e-06
0.55168152,9.7351074e-06
0.55404663,1.0223389e-05
0.56159973,9.674072299999999e-06
0.56518555,9.0637207e-06
0.56922913,1.0498047e-05
0.56854248,9.857177699999999e-06
0.5670929,1.0803223e-05
0.56694031,9.9182129e-06
0.56213379,9.277343800000001e-06
0.5757141099999999,9.704589800000001e-06
0.58067322,9.674072299999999e-06
0.5846405,9.2163086e-06
0.58067322,9.7351074e-06
0.58082581,9.429931599999999e-06
0.58158875,9.674072299999999e-06
0.57861328,9.094238300000001e-06
0.58288574,9.765625e-06
0.5886840800000001,9.3383789e-06
0.59143066,9.0637207e-06
0.59692383,1.0131836e-05
0.59516907,1.0437012e-05
0.59585571,9.765625e-06
0.5947876,9.643554699999999e-06
0.5960083,8.605957000000001e-06
0.60279846,1.0131836e-05
0.6073761,8.7280273e-06
0.6136322,9.8876953e-06
0.60577393,1.0040283e-05
0.60531616,1.0040283e-05
0.60707092,9.2163086e-06
0.61553955,9.7351074e-06
0.6186676,8.8500977e-06
0.6231689500000001,9.2468262e-06
0.6187439,1.0040283e-05
0.61798096,1.0467529e-05
0.62103271,1.0467529e-05
